"","","1","2","3"
"1",1,0,0,0
"2",1,0.0906313987445873,0.00302104662481958,3.35671847202175e-05
"3",1,0.169380014098218,0.0116813802826357,0.00026853747776174
"4",1,0.236850055385855,0.0253767916484844,0.000906313987445873
"5",1,0.293645731932463,0.0435030713974019,0.00214829982209392
"6",1,0.340371253063006,0.0654560102044242,0.00419589809002719
"7",1,0.377630828102447,0.0906313987445873,0.00725051189956698
"8",1,0.406028666375751,0.118425027692927,0.0115135443590346
"9",1,0.426168977207882,0.148232687724481,0.0171863985767514
"10",1,0.438655969923802,0.179450169514283,0.0244704776610386
"11",1,0.444093853848478,0.21147326373737,0.0335671847202175
"12",1,0.443086838306871,0.243697761068779,0.0446779228626095
"13",1,0.436239132623947,0.275519452183545,0.0580040951965359
"14",1,0.424154946124668,0.306334127756705,0.0737471048303179
"15",1,0.407438488134,0.335537578463294,0.0921083548722769
"16",1,0.386693967976906,0.362525594978349,0.113289248430734
"17",1,0.362525594978349,0.386693967976906,0.137491188614011
"18",1,0.335537578463294,0.407438488134,0.164915578530429
"19",1,0.306334127756705,0.424154946124668,0.195763821288309
"20",1,0.275519452183545,0.436239132623947,0.230237319995972
"21",1,0.243697761068779,0.443086838306871,0.26853747776174
"22",1,0.21147326373737,0.444093853848478,0.310865697693934
"23",1,0.179450169514283,0.438655969923802,0.357423382900876
"24",1,0.148232687724481,0.426168977207882,0.408411936490887
"25",1,0.118425027692927,0.406028666375751,0.464032761572287
"26",1,0.0906313987445873,0.377630828102447,0.524487261253399
"27",1,0.0654560102044242,0.340371253063006,0.589976838642543
"28",1,0.0435030713974019,0.293645731932463,0.660702896848041
"29",1,0.0253767916484844,0.236850055385855,0.736866838978215
"30",1,0.0116813802826357,0.169380014098218,0.818670068141385
"31",1,0.00302104662481958,0.0906313987445873,0.906313987445873
"32",1,0,0,1
